_id,title,content,summary,sentiment.label,sentiment.score,sentiment.comparative,sentiment.rawScore,createAt,updatedAt,__v,keywords[0],keywords[1],keywords[2],keywords[3],keywords[4],keywords[5],keywords[6],keywords[7],sentiment.positive[0],sentiment.positive[1],sentiment.positive[2],sentiment.positive[3],sentiment.positive[4],sentiment.positive[5],sentiment.positive[6],sentiment.positive[7],sentiment.negative[0],sentiment.negative[1],sentiment.negative[2],sentiment.negative[3],sentiment.negative[4],sentiment.negative[5],sentiment.negative[6],sentiment.negative[7],createdAt,user
692ec6a98045902bc8ba0df4,Ma première note,"Aujourd'hui j'ai bien avancé dans mon projet, j'espère bien le finir.","Aujourd'hui j'ai bien avancé dans mon projet, j'espère bien le finir.",neutral,0.5,0,0,2025-12-02T10:59:53.240Z,2026-01-10T17:48:36.158Z,0,aujourd hui,avance,projet,espere,finir,,,,,,,,,,,,,,,,,,,,,
692ec78c8045902bc8ba0df6,Mon dernier examen,"Examen pratique en MERN à venir, j'en ai presque fini pour le backend.","Examen pratique en MERN à venir, j'en ai presque fini pour le backend.",neutral,0.5,0,0,2025-12-02T11:03:40.628Z,2026-01-10T17:48:36.186Z,0,examen pratique,backend,venir,mern,fini,,,,,,,,,,,,,,,,,,,,,
692f35673f63f18ae9439eab,Introduction au Machine Learning,"Le machine learning est une branche de l'intelligence artificielle qui permet aux systèmes d'apprendre à partir de données sans être explicitement programmés. Les algorithmes de régression linéaire, les forêts aléatoires et les réseaux de neurones sont des exemples courants. Le deep learning utilise des architectures complexes pour résoudre des problèmes comme la vision par ordinateur et le traitement du langage naturel. Les modèles doivent être entraînés sur des jeux de données volumineux et validés pour éviter le surapprentissage. C'est passionnant de voir les progrès réalisés dans ce domaine !","Le machine learning est une branche de l'intelligence artificielle qui permet aux systèmes d'apprendre à partir de données sans être explicitement programmés. Les algorithmes de régression linéaire, les forêts aléatoires et les réseaux de neurones sont des exemples courants. C'est passionnant de voir les progrès réalisés dans ce domaine !",positive,0.648,0.0509,4.43,2025-12-02T18:52:23.093Z,2026-01-10T17:48:36.198Z,0,intelligence artificielle,explicitement programmes,architectures complexes,regression lineaire,etre explicitement,donnees volumineux,forets aleatoires,exemples courants,comme,vision,naturel,,,,,,,,,,,,,,,
692f35773f63f18ae9439ead,Journée exceptionnelle,"Aujourd'hui a été une journée absolument incroyable ! J'ai réussi mon examen avec une note parfaite, j'ai reçu une promotion au travail et pour couronner le tout, mes amis m'ont organisé une fête surprise. Le temps était magnifique, ensoleillé et doux. J'ai ressenti une vague de bonheur et de gratitude envers la vie. Ces moments de joie pure sont tellement précieux. J'espère que cette énergie positive continuera dans les jours à venir. La vie peut être tellement belle quand on prend le temps d'apprécier les petites victoires.",Aujourd'hui a été une journée absolument incroyable ! J'ai ressenti une vague de bonheur et de gratitude envers la vie. La vie peut être tellement belle quand on prend le temps d'apprécier les petites victoires.,positive,0.984,0.1708,14.52,2025-12-02T18:52:39.518Z,2026-01-10T17:48:36.210Z,0,absolument incroyable,magnifique ensoleille,positive continuera,journee absolument,tellement precieux,petites victoires,etait magnifique,gratitude envers,parfaite,bonheur,joie,positive,belle,,,,incroyable,vague,,,,,,,,
692f35833f63f18ae9439eaf,Compte-rendu réunion projet,"La réunion de lancement du projet Nexus s'est tenue ce matin à 10h. Participants : Marie (cheffe de projet), Thomas (développeur), Sophie (designer). Points abordés : définition des objectifs, calendrier prévisionnel, répartition des tâches. Le MVP doit être livré pour le 15 décembre. Les technologies retenues sont React pour le frontend et Node.js pour le backend. Budget alloué : 50 000€. Prochaine réunion prévue vendredi pour valider les maquettes. Des questions restent en suspens concernant l'intégration de l'API de paiement.","La réunion de lancement du projet Nexus s'est tenue ce matin à 10h. Points abordés : définition des objectifs, calendrier prévisionnel, répartition des tâches. Des questions restent en suspens concernant l'intégration de l'API de paiement.",neutral,0.537,0.0145,1.11,2025-12-02T18:52:51.814Z,2026-01-10T17:48:36.223Z,0,previsionnel repartition,calendrier previsionnel,technologies retenues,objectifs calendrier,participants marie,thomas developpeur,developpeur sophie,abordes definition,valider,,,,,,,,,,,,,,,,,
692f35a03f63f18ae9439eb1,Impression de lecture - Les Misérables,"La lecture des Misérables de Victor Hugo m'a profondément ému. Le personnage de Jean Valjean incarne la rédemption et la lutte pour la dignité humaine malgré les erreurs du passé. La description de la misère sociale au XIXe siècle reste d'une actualité troublante. Les thèmes de la justice, de l'amour et du sacrifice sont traités avec une intensité rare. Certaines digressions historiques alourdissent le récit mais n'enlèvent rien à la puissance de l'œuvre. La mort de Gavroche reste l'une des scènes les plus poignantes de la littérature française.",La lecture des Misérables de Victor Hugo m'a profondément ému. Le personnage de Jean Valjean incarne la rédemption et la lutte pour la dignité humaine malgré les erreurs du passé. La mort de Gavroche reste l'une des scènes les plus poignantes de la littérature française.,neutral,0.5,0,0,2025-12-02T18:53:20.261Z,2026-01-10T17:48:36.234Z,0,historiques alourdissent,digressions historiques,certaines digressions,litterature francaise,actualite troublante,profondement emu,valjean incarne,dignite humaine,justice,plus,,,,,,,erreurs,mort,,,,,,,,
692f35ab3f63f18ae9439eb3,Expérience client décevante,Le service client de cette entreprise est catastrophique. J'ai attendu plus de 45 minutes au téléphone avant d'être mis en relation avec un conseiller peu compétent. Le produit livré ne correspondait pas à la description sur le site. La garantie n'a pas été honorée malgré mes multiples relances. Je suis extrêmement déçu par cette mauvaise expérience. Les délais de traitement sont beaucoup trop longs et la communication est inexistante. Je ne recommanderai certainement pas cette société à mes proches. Un vrai fiasco.,Le service client de cette entreprise est catastrophique. Le produit livré ne correspondait pas à la description sur le site. Un vrai fiasco.,negative,0.24,-0.0986,-7.79,2025-12-02T18:53:31.405Z,2026-01-10T17:48:36.243Z,0,recommanderai certainement,mauvaise experience,multiples relances,suis extremement,extremement decu,service client,honoree malgre,produit livre,plus,garantie,vrai,,,,,,catastrophique,attendu,mauvaise,fiasco,,,,,,
692f35b53f63f18ae9439eb5,Routine matinale bénéfique,"Depuis que j'ai mis en place une routine matinale, ma productivité a augmenté de 40%. Je me lève à 6h30, bois un grand verre d'eau, médite 10 minutes, puis fais 20 minutes de yoga. Le petit-déjeuner est toujours équilibré : fruits, protéines et céréales complètes. Cette discipline m'aide à commencer la journée avec sérénité et énergie. Les bienfaits sur mon humeur et ma concentration sont tangibles. Je me sens plus calme, plus organisé et mieux dans mon corps. C'est l'une des meilleures habitudes que j'ai prise récemment.","Depuis que j'ai mis en place une routine matinale, ma productivité a augmenté de 40%. Le petit-déjeuner est toujours équilibré : fruits, protéines et céréales complètes. C'est l'une des meilleures habitudes que j'ai prise récemment.",positive,0.666,0.0594,4.99,2025-12-02T18:53:41.855Z,2026-01-10T17:48:36.254Z,0,meilleures habitudes,cereales completes,routine matinale,equilibre fruits,fruits proteines,prise recemment,petit dejeuner,minutes puis,grand,aide,plus,mieux,,,,,sens,calme,plus,,,,,,,
692f35da3f63f18ae9439eb7,Séjour à Tokyo - Mars 2023,"Tokyo est une ville fascinante où tradition et modernité coexistent harmonieusement. Le quartier de Shibuya avec son célèbre carrefour est une expérience sensorielle intense. Le sanctuaire Meiji offre un havre de paix en plein centre-ville. La nourriture est excellente : ramen, sushi, takoyaki. Les transports publics sont ponctuels et efficaces. Cependant, l'affluence aux heures de pointe peut être éprouvante. Le coût de la vie est élevé mais justifié par la qualité des services. Un voyage inoubliable riche en découvertes culturelles.",Tokyo est une ville fascinante où tradition et modernité coexistent harmonieusement. Le sanctuaire Meiji offre un havre de paix en plein centre-ville. Un voyage inoubliable riche en découvertes culturelles.,positive,0.796,0.1112,8.89,2025-12-02T18:54:18.891Z,2026-01-10T17:48:36.263Z,0,coexistent harmonieusement,decouvertes culturelles,experience sensorielle,modernite coexistent,sensorielle intense,transports publics,voyage inoubliable,celebre carrefour,fascinante,intense,paix,riche,,,,,,,,,,,,,,
692f35e43f63f18ae9439eb9,Résumé cours de physique quantique,"La physique quantique décrit le comportement des particules à l'échelle atomique et subatomique. Le principe de superposition explique qu'une particule peut être dans plusieurs états simultanément. L'intrication quantique permet à deux particules de rester connectées quelle que soit la distance. Ces concepts contredisent souvent l'intuition classique. Les applications incluent les ordinateurs quantiques, la cryptographie et l'imagerie médicale. Les expériences comme celle du chat de Schrödinger illustrent les paradoxes quantiques. C'est un domaine complexe mais essentiel pour comprendre l'univers microscopique.",La physique quantique décrit le comportement des particules à l'échelle atomique et subatomique. L'intrication quantique permet à deux particules de rester connectées quelle que soit la distance. C'est un domaine complexe mais essentiel pour comprendre l'univers microscopique.,positive,0.648,0.0571,4.45,2025-12-02T18:54:28.083Z,2026-01-10T17:48:36.273Z,0,superposition explique,ordinateurs quantiques,schrodinger illustrent,intrication quantique,concepts contredisent,applications incluent,univers microscopique,paradoxes quantiques,comme,complexe,,,,,,,,,,,,,,,,
